,raw_entropy,normalized_entropy
assay1,5.609088191809439,0.9888342029478272
assay2,4.008619209406551,0.7066852303451074
assay3,4.113623181840282,0.7251965312619805
assay4,4.1525826033314965,0.7320647435596278
